customer_id,product_id,sale_month,sale_year,unit_sale,product_rate,total_amount
1013,25,April,2025,10,118.15,1181.5
1013,8164,April,2025,10,119,1190
1013,8406,April,2025,10,92,920
1013,8457,April,2025,10,61.2,612
1013,9006,April,2025,3,229.5,688.5
1015,8512,April,2025,10,104.55,1045.5
1015,8534,April,2025,10,102,1020
1019,3,April,2025,1,324.7,324.7
1019,8406,April,2025,10,92,920
1019,8594,April,2025,2,228.02,456.04
1019,8664,April,2025,6,63.75,382.5
1019,8974,April,2025,2,119,238
1019,8980,April,2025,2,93.5,187
1020,3,April,2025,2,324.7,649.4
1020,8664,April,2025,4,63.75,255
1020,8974,April,2025,3,119,357
1020,8980,April,2025,3,93.5,280.5
1020,9065,April,2025,3,99.45,298.35
1021,3,April,2025,2,324.7,649.4
1021,25,April,2025,6,118.15,708.9
1021,8164,April,2025,10,119,1190
1021,8485,April,2025,6,93.5,561
1021,8602,April,2025,1,362.34,362.34
1021,8603,April,2025,6,51.85,311.1
1021,8605,April,2025,6,74.35,446.1
1021,8664,April,2025,16,63.75,1020
1021,8901,April,2025,1,187,187
1021,8974,April,2025,2,119,238
1021,8980,April,2025,2,93.5,187
1022,3,April,2025,1,324.7,324.7
1022,8164,April,2025,4,119,476
1022,8457,April,2025,10,61.2,612
1022,8512,April,2025,10,104.55,1045.5
1023,3,April,2025,3,324.7,974.1
1023,25,April,2025,10,118.15,1181.5
1023,44,April,2025,6,90.94,545.64
1023,50,April,2025,6,170,1020
1023,8164,April,2025,10,119,1190
1023,8406,April,2025,6,92,552
1023,8457,April,2025,10,61.2,612
1023,8485,April,2025,6,93.5,561
1023,8534,April,2025,10,102,1020
1023,8594,April,2025,1,228.02,228.02
1023,8603,April,2025,6,51.85,311.1
1023,8664,April,2025,6,63.75,382.5
1023,8674,April,2025,10,85,850
1023,8891,April,2025,3,72.25,216.75
1023,9065,April,2025,6,99.45,596.7
1024,3,April,2025,4,324.7,1298.8
1024,8457,April,2025,10,61.2,612
1024,8467,April,2025,2,333.2,666.4
1024,8594,April,2025,5,228.02,1140.1
1024,8620,April,2025,7,144.5,1011.5
1024,8664,April,2025,20,63.75,1275
1024,8974,April,2025,13,119,1547
1026,8457,April,2025,10,61.2,612
1026,8467,April,2025,1,333.2,333.2
1026,8974,April,2025,2,119,238
1027,25,April,2025,10,118.15,1181.5
1027,44,April,2025,3,90.94,272.82
1027,8457,April,2025,6,61.2,367.2
1027,8467,April,2025,4,333.2,1332.8
1027,8474,April,2025,4,125.65,502.6
1027,8485,April,2025,3,93.5,280.5
1027,8603,April,2025,4,51.85,207.4
1027,8664,April,2025,5,63.75,318.75
1027,8901,April,2025,3,187,561
1027,8974,April,2025,5,119,595
1027,8980,April,2025,5,93.5,467.5
1028,3,April,2025,5,324.7,1623.5
1028,23,April,2025,6,79.67,478.02
1028,25,April,2025,10,118.15,1181.5
1028,8164,April,2025,5,119,595
1028,8407,April,2025,1,127.5,127.5
1028,8467,April,2025,2,333.2,666.4
1028,8474,April,2025,2,125.65,251.3
1028,8594,April,2025,2,228.02,456.04
1028,8603,April,2025,6,51.85,311.1
1028,8664,April,2025,6,63.75,382.5
1028,8800,April,2025,4,59.5,238
1028,8974,April,2025,8,119,952
1028,9001,April,2025,4,55.25,221
1028,9065,April,2025,10,99.45,994.5
1029,3,April,2025,2,324.7,649.4
1029,44,April,2025,10,90.94,909.4
1029,8164,April,2025,10,119,1190
1029,8457,April,2025,10,61.2,612
1029,8510,April,2025,1,599.15,599.15
1029,8594,April,2025,4,228.02,912.08
1029,8602,April,2025,1,362.34,362.34
1029,8868,April,2025,1,374,374
1029,9065,April,2025,10,99.45,994.5
1030,25,April,2025,10,118.15,1181.5
1030,8974,April,2025,10,119,1190
1031,16,April,2025,10,255,2550
1031,25,April,2025,70,118.15,8270.5
1031,8164,April,2025,10,119,1190
1031,8407,April,2025,10,127.5,1275
1031,8457,April,2025,20,61.2,1224
1031,8620,April,2025,10,144.5,1445
1031,8891,April,2025,5,72.25,361.25
1031,8974,April,2025,10,119,1190
1032,3,April,2025,2,324.7,649.4
1032,16,April,2025,2,255,510
1032,8457,April,2025,10,61.2,612
1032,8467,April,2025,3,333.2,999.6
1032,8510,April,2025,1,599.15,599.15
1032,8603,April,2025,10,51.85,518.5
1032,8605,April,2025,6,74.35,446.1
1032,8901,April,2025,2,187,374
1032,8974,April,2025,10,119,1190
1037,25,April,2025,10,118.15,1181.5
1037,8457,April,2025,10,61.2,612
1037,8467,April,2025,1,333.2,333.2
1038,25,April,2025,20,118.15,2363
1038,8164,April,2025,10,119,1190
1038,8407,April,2025,3,127.5,382.5
1038,8474,April,2025,2,125.65,251.3
1038,8485,April,2025,5,93.5,467.5
1038,8534,April,2025,2,102,204
1038,8664,April,2025,6,63.75,382.5
1038,8974,April,2025,10,119,1190
1038,9001,April,2025,4,55.25,221
1038,9065,April,2025,4,99.45,397.8
1040,25,April,2025,10,118.15,1181.5
1040,8457,April,2025,20,61.2,1224
1040,8602,April,2025,1,362.34,362.34
1040,8974,April,2025,20,119,2380
1043,16,April,2025,2,255,510
1043,25,April,2025,10,118.15,1181.5
1043,8457,April,2025,10,61.2,612
1043,8633,April,2025,6,79.81,478.86
1043,8974,April,2025,2,119,238
1043,8980,April,2025,2,93.5,187
1044,3,April,2025,4,324.7,1298.8
1044,25,April,2025,10,118.15,1181.5
1044,50,April,2025,6,170,1020
1044,8413,April,2025,10,95.17,951.7
1044,8512,April,2025,10,104.55,1045.5
1044,8534,April,2025,10,102,1020
1044,8974,April,2025,10,119,1190
1044,9066,April,2025,2,290.03,580.06
1045,25,April,2025,10,118.15,1181.5
1045,8164,April,2025,10,119,1190
1045,8406,April,2025,10,92,920
1045,8413,April,2025,10,95.17,951.7
1045,8467,April,2025,4,333.2,1332.8
1045,8512,April,2025,10,104.55,1045.5
1045,8534,April,2025,10,102,1020
1045,8605,April,2025,12,74.35,892.2
1045,8975,April,2025,10,34,340
1046,3,April,2025,3,324.7,974.1
1046,8467,April,2025,2,333.2,666.4
1046,8664,April,2025,10,63.75,637.5
1046,8891,April,2025,4,72.25,289
1046,8974,April,2025,4,119,476
1047,25,April,2025,30,118.15,3544.5
1047,49,April,2025,10,72.25,722.5
1047,8413,April,2025,10,95.17,951.7
1047,8457,April,2025,20,61.2,1224
1047,8474,April,2025,10,125.65,1256.5
1047,8485,April,2025,20,93.5,1870
1047,8594,April,2025,2,228.02,456.04
1047,8603,April,2025,15,51.85,777.75
1047,8620,April,2025,10,144.5,1445
1047,8664,April,2025,10,63.75,637.5
1047,8673,April,2025,20,41.34,826.8
1047,8674,April,2025,10,85,850
1047,8974,April,2025,10,119,1190
1047,8986,April,2025,10,93.5,935
1047,9012,April,2025,2,465.38,930.76
1049,16,April,2025,10,255,2550
1049,25,April,2025,50,118.15,5907.5
1049,8164,April,2025,50,119,5950
1049,8406,April,2025,10,92,920
1049,8407,April,2025,10,127.5,1275
1049,8457,April,2025,100,61.2,6120
1049,8467,April,2025,30,333.2,9996
1049,8485,April,2025,100,93.5,9350
1049,8534,April,2025,50,102,5100
1049,8603,April,2025,100,51.85,5185
1049,8605,April,2025,40,74.35,2974
1049,8620,April,2025,20,144.5,2890
1049,8633,April,2025,50,79.81,3990.5
1049,8674,April,2025,50,85,4250
1049,8901,April,2025,10,187,1870
1049,8974,April,2025,10,119,1190
1049,8975,April,2025,20,34,680
1049,8981,April,2025,10,85,850
1049,8986,April,2025,10,93.5,935
1049,9012,April,2025,3,465.38,1396.14
1049,9066,April,2025,10,290.03,2900.3
1050,3,April,2025,5,324.7,1623.5
1050,16,April,2025,2,255,510
1050,25,April,2025,10,118.15,1181.5
1050,8457,April,2025,20,61.2,1224
1050,8974,April,2025,10,119,1190
1051,3,April,2025,30,324.7,9741
1051,25,April,2025,10,118.15,1181.5
1051,44,April,2025,10,90.94,909.4
1051,8406,April,2025,30,92,2760
1051,8407,April,2025,4,127.5,510
1051,8412,April,2025,10,127.5,1275
1051,8457,April,2025,70,61.2,4284
1051,8485,April,2025,20,93.5,1870
1051,8510,April,2025,2,599.15,1198.3
1051,8534,April,2025,10,102,1020
1051,8594,April,2025,4,228.02,912.08
1051,8602,April,2025,2,362.34,724.68
1051,8603,April,2025,10,51.85,518.5
1051,8620,April,2025,10,144.5,1445
1051,8664,April,2025,20,63.75,1275
1051,8974,April,2025,70,119,8330
1051,8980,April,2025,20,93.5,1870
1051,8981,April,2025,10,85,850
1051,9004,April,2025,5,85,425
1051,9047,April,2025,10,212.5,2125
1051,9052,April,2025,3,89.25,267.75
1051,9065,April,2025,10,99.45,994.5
1052,3,April,2025,2,324.7,649.4
1052,25,April,2025,10,118.15,1181.5
1052,8406,April,2025,10,92,920
1052,8407,April,2025,4,127.5,510
1052,8413,April,2025,10,95.17,951.7
1052,8457,April,2025,10,61.2,612
1052,8467,April,2025,1,333.2,333.2
1052,8510,April,2025,1,599.15,599.15
1052,8594,April,2025,4,228.02,912.08
1052,8620,April,2025,2,144.5,289
1052,8974,April,2025,10,119,1190
1056,3,April,2025,10,324.7,3247
1056,44,April,2025,20,90.94,1818.8
1056,8164,April,2025,30,119,3570
1056,8406,April,2025,20,92,1840
1056,8457,April,2025,30,61.2,1836
1056,8485,April,2025,20,93.5,1870
1056,8510,April,2025,1,599.15,599.15
1056,8534,April,2025,10,102,1020
1056,8602,April,2025,1,362.34,362.34
1056,8603,April,2025,30,51.85,1555.5
1056,8674,April,2025,20,85,1700
1056,8815,April,2025,10,101.88,1018.8
1056,8868,April,2025,1,374,374
1056,8974,April,2025,20,119,2380
1056,9001,April,2025,20,55.25,1105
1056,9006,April,2025,6,229.5,1377
1056,9012,April,2025,1,465.38,465.38
1056,9047,April,2025,6,212.5,1275
1060,3,April,2025,2,324.7,649.4
1060,25,April,2025,10,118.15,1181.5
1060,8164,April,2025,10,119,1190
1060,8457,April,2025,10,61.2,612
1066,3,April,2025,10,324.7,3247
1066,8474,April,2025,10,125.65,1256.5
1066,8974,April,2025,10,119,1190
1066,8980,April,2025,10,93.5,935
1066,9006,April,2025,10,229.5,2295
1067,25,April,2025,100,118.15,11815
1067,8620,April,2025,50,144.5,7225
1067,8986,April,2025,50,93.5,4675
1070,16,April,2025,50,255,12750
1070,23,April,2025,10,79.67,796.7
1070,8164,April,2025,50,119,5950
1070,8457,April,2025,200,61.2,12240
1070,8467,April,2025,120,333.2,39984
1070,8485,April,2025,50,93.5,4675
1070,8512,April,2025,40,104.55,4182
1070,8534,April,2025,50,102,5100
1070,8603,April,2025,200,51.85,10370
1070,8664,April,2025,400,63.75,25500
1070,8901,April,2025,21,187,3927
1070,9012,April,2025,20,465.38,9307.6
1074,3,April,2025,4,324.7,1298.8
1074,25,April,2025,10,118.15,1181.5
1074,8164,April,2025,10,119,1190
1074,8406,April,2025,10,92,920
1074,8412,April,2025,10,127.5,1275
1074,8467,April,2025,2,333.2,666.4
1074,8485,April,2025,10,93.5,935
1074,8510,April,2025,2,599.15,1198.3
1074,8603,April,2025,10,51.85,518.5
1074,8901,April,2025,2,187,374
1074,8974,April,2025,3,119,357
1079,3,April,2025,20,324.7,6494
1079,8164,April,2025,50,119,5950
1079,8457,April,2025,100,61.2,6120
1079,8467,April,2025,70,333.2,23324
1083,3,April,2025,5,324.7,1623.5
1083,8406,April,2025,10,92,920
1083,8457,April,2025,10,61.2,612
1083,8527,April,2025,10,29.75,297.5
1083,8534,April,2025,10,102,1020
1083,8664,April,2025,10,63.75,637.5
1083,9065,April,2025,10,99.45,994.5
1084,3,April,2025,6,324.7,1948.2
1084,16,April,2025,1,255,255
1084,8467,April,2025,4,333.2,1332.8
1084,8815,April,2025,10,101.88,1018.8
1084,8891,April,2025,10,72.25,722.5
1090,3,April,2025,2,324.7,649.4
1090,25,April,2025,10,118.15,1181.5
1090,44,April,2025,10,90.94,909.4
1090,50,April,2025,10,170,1700
1090,8406,April,2025,10,92,920
1090,8407,April,2025,1,127.5,127.5
1090,8457,April,2025,40,61.2,2448
1090,8467,April,2025,10,333.2,3332
1090,8474,April,2025,2,125.65,251.3
1090,8485,April,2025,20,93.5,1870
1090,8510,April,2025,2,599.15,1198.3
1090,8512,April,2025,10,104.55,1045.5
1090,8534,April,2025,10,102,1020
1090,8815,April,2025,10,101.88,1018.8
1090,8891,April,2025,10,72.25,722.5
1090,8901,April,2025,1,187,187
1090,9001,April,2025,50,55.25,2762.5
1090,9065,April,2025,10,99.45,994.5
1092,3,April,2025,2,324.7,649.4
1092,25,April,2025,20,118.15,2363
1092,50,April,2025,5,170,850
1092,8164,April,2025,13,119,1547
1092,8407,April,2025,2,127.5,255
1092,8457,April,2025,10,61.2,612
1092,8467,April,2025,2,333.2,666.4
1092,8534,April,2025,4,102,408
1092,8594,April,2025,4,228.02,912.08
1092,8603,April,2025,4,51.85,207.4
1092,8974,April,2025,5,119,595
1092,9012,April,2025,1,465.38,465.38
1099,3,April,2025,2,324.7,649.4
1099,25,April,2025,10,118.15,1181.5
1099,8457,April,2025,10,61.2,612
1099,8467,April,2025,2,333.2,666.4
1099,8602,April,2025,2,362.34,724.68
1100,3,April,2025,4,324.7,1298.8
1100,8594,April,2025,5,228.02,1140.1
1100,8974,April,2025,6,119,714
1100,8980,April,2025,6,93.5,561
1101,3,April,2025,4,324.7,1298.8
1101,25,April,2025,20,118.15,2363
1101,44,April,2025,10,90.94,909.4
1101,8457,April,2025,20,61.2,1224
1101,8467,April,2025,1,333.2,333.2
1101,8974,April,2025,10,119,1190
1101,8980,April,2025,10,93.5,935
1103,8407,April,2025,2,127.5,255
1103,8457,April,2025,10,61.2,612
1103,8467,April,2025,2,333.2,666.4
1103,8594,April,2025,2,228.02,456.04
1105,3,April,2025,20,324.7,6494
1105,50,April,2025,10,170,1700
1105,8406,April,2025,10,92,920
1105,8413,April,2025,10,95.17,951.7
1105,8467,April,2025,15,333.2,4998
1105,8485,April,2025,10,93.5,935
1105,8534,April,2025,10,102,1020
1105,8603,April,2025,10,51.85,518.5
1105,8605,April,2025,10,74.35,743.5
1105,8664,April,2025,20,63.75,1275
1105,8674,April,2025,10,85,850
1105,8891,April,2025,6,72.25,433.5
1105,8974,April,2025,30,119,3570
1105,8981,April,2025,4,85,340
1108,3,April,2025,4,324.7,1298.8
1108,8457,April,2025,10,61.2,612
1108,8974,April,2025,3,119,357
1110,25,April,2025,150,118.15,17722.5
1110,8164,April,2025,60,119,7140
1110,8457,April,2025,100,61.2,6120
1110,8467,April,2025,5,333.2,1666
1110,8485,April,2025,20,93.5,1870
1110,8534,April,2025,50,102,5100
1110,8594,April,2025,40,228.02,9120.8
1110,8620,April,2025,40,144.5,5780
1110,8974,April,2025,60,119,7140
1110,8986,April,2025,30,93.5,2805
1110,9012,April,2025,10,465.38,4653.8
1117,8457,April,2025,10,61.2,612
1117,8467,April,2025,1,333.2,333.2
1117,8534,April,2025,10,102,1020
1117,8603,April,2025,15,51.85,777.75
1117,8633,April,2025,10,79.81,798.1
1117,8664,April,2025,10,63.75,637.5
1119,3,April,2025,6,324.7,1948.2
1119,8457,April,2025,20,61.2,1224
1119,8485,April,2025,4,93.5,374
1119,8527,April,2025,3,29.75,89.25
1119,8664,April,2025,5,63.75,318.75
1124,3,April,2025,1,324.7,324.7
1124,25,April,2025,10,118.15,1181.5
