customer_id,product_id,sale_month,sale_year,unit_return,product_rate,total_return_amount
1040,8974,April,2025,2,119,238
1043,25,April,2025,1,118.15,118.15
1043,8457,April,2025,1,61.2,61.2
1044,25,April,2025,3,118.15,354.45
1044,8413,April,2025,1,95.17,95.17
1044,8512,April,2025,1,104.55,104.55
1044,8534,April,2025,1,102,102
1044,8974,April,2025,1,119,119
1045,25,April,2025,3,118.15,354.45
1045,8164,April,2025,1,119,119
1045,8406,April,2025,1,92,92
1045,8413,April,2025,1,95.17,95.17
1045,8512,April,2025,1,104.55,104.55
1045,8534,April,2025,1,102,102
1045,8975,April,2025,1,34,34
1046,8664,April,2025,1,63.75,63.75
1047,25,April,2025,9,118.15,1063.35
1047,49,April,2025,2,72.25,144.5
1047,8413,April,2025,1,95.17,95.17
1047,8457,April,2025,2,61.2,122.4
1047,8474,April,2025,1,125.65,125.65
1047,8485,April,2025,2,93.5,187
1047,8603,April,2025,1,51.85,51.85
1047,8620,April,2025,2,144.5,289
1047,8664,April,2025,1,63.75,63.75
1047,8673,April,2025,2,41.34,82.68
1047,8674,April,2025,1,85,85
1047,8974,April,2025,1,119,119
1047,8986,April,2025,2,93.5,187
1049,25,April,2025,10,118.15,1181.5
1049,8164,April,2025,5,119,595
1049,8406,April,2025,1,92,92
1049,8407,April,2025,1,127.5,127.5
1049,8457,April,2025,10,61.2,612
1049,8467,April,2025,3,333.2,999.6
1049,8485,April,2025,10,93.5,935
1049,8534,April,2025,10,102,1020
1049,8603,April,2025,6,51.85,311.1
1049,8605,April,2025,2,74.35,148.7
1049,8620,April,2025,2,144.5,289
1049,8633,April,2025,5,79.81,399.05
1049,8674,April,2025,10,85,850
1049,8901,April,2025,1,187,187
1049,8974,April,2025,1,119,119
1049,8975,April,2025,2,34,68
1049,8981,April,2025,1,85,85
1049,8986,April,2025,1,93.5,93.5
1049,9066,April,2025,1,290.03,290.03
1050,25,April,2025,3,118.15,354.45
1050,8457,April,2025,2,61.2,122.4
1050,8974,April,2025,1,119,119
1051,3,April,2025,3,324.7,974.1
1051,25,April,2025,1,118.15,118.15
1051,44,April,2025,1,90.94,90.94
1051,8406,April,2025,3,92,276
1051,8412,April,2025,1,127.5,127.5
1051,8457,April,2025,7,61.2,428.4
1051,8485,April,2025,2,93.5,187
1051,8534,April,2025,1,102,102
1051,8620,April,2025,1,144.5,144.5
1051,8664,April,2025,2,63.75,127.5
1051,8974,April,2025,7,119,833
1051,8980,April,2025,2,93.5,187
1051,9047,April,2025,1,212.5,212.5
1051,9065,April,2025,1,99.45,99.45
1052,25,April,2025,1,118.15,118.15
1052,8406,April,2025,1,92,92
1052,8413,April,2025,1,95.17,95.17
1052,8457,April,2025,1,61.2,61.2
1052,8974,April,2025,1,119,119
1056,3,April,2025,1,324.7,324.7
1056,44,April,2025,2,90.94,181.88
1056,8164,April,2025,3,119,357
1056,8406,April,2025,2,92,184
1056,8457,April,2025,3,61.2,183.6
1056,8485,April,2025,2,93.5,187
1056,8534,April,2025,1,102,102
1056,8603,April,2025,2,51.85,103.7
1056,8674,April,2025,2,85,170
1056,8815,April,2025,1,101.88,101.88
1056,8974,April,2025,2,119,238
1056,9001,April,2025,2,55.25,110.5
1060,25,April,2025,1,118.15,118.15
1060,8164,April,2025,1,119,119
1060,8457,April,2025,1,61.2,61.2
1066,3,April,2025,1,324.7,324.7
1066,8474,April,2025,1,125.65,125.65
1066,8974,April,2025,1,119,119
1066,8980,April,2025,1,93.5,93.5
1066,9006,April,2025,1,229.5,229.5
1067,25,April,2025,30,118.15,3544.5
1067,8620,April,2025,10,144.5,1445
1067,8986,April,2025,10,93.5,935
1070,23,April,2025,1,79.67,79.67
1070,8164,April,2025,5,119,595
1070,8457,April,2025,30,61.2,1836
1070,8467,April,2025,12,333.2,3998.4
1070,8485,April,2025,5,93.5,467.5
1070,8512,April,2025,4,104.55,418.2
1070,8534,April,2025,10,102,1020
1070,8603,April,2025,12,51.85,622.2
1070,8664,April,2025,40,63.75,2550
1070,8901,April,2025,2,187,374
1070,9012,April,2025,2,465.38,930.76
1074,25,April,2025,3,118.15,354.45
1074,8164,April,2025,1,119,119
1074,8406,April,2025,1,92,92
1074,8412,April,2025,1,127.5,127.5
1074,8485,April,2025,1,93.5,93.5
1079,3,April,2025,2,324.7,649.4
1079,8164,April,2025,5,119,595
1079,8457,April,2025,10,61.2,612
1079,8467,April,2025,7,333.2,2332.4
1083,8406,April,2025,1,92,92
1083,8457,April,2025,1,61.2,61.2
1083,8527,April,2025,1,29.75,29.75
1083,8534,April,2025,1,102,102
1083,8664,April,2025,1,63.75,63.75
1083,9065,April,2025,1,99.45,99.45
1084,8815,April,2025,1,101.88,101.88
1090,25,April,2025,1,118.15,118.15
1090,44,April,2025,1,90.94,90.94
1090,8406,April,2025,1,92,92
1090,8457,April,2025,4,61.2,244.8
1090,8467,April,2025,1,333.2,333.2
1090,8485,April,2025,2,93.5,187
1090,8512,April,2025,1,104.55,104.55
1090,8534,April,2025,1,102,102
1090,8815,April,2025,1,101.88,101.88
1090,9001,April,2025,5,55.25,276.25
1090,9065,April,2025,1,99.45,99.45
1092,25,April,2025,2,118.15,236.3
1092,8164,April,2025,1,119,119
1092,8457,April,2025,1,61.2,61.2
1099,25,April,2025,3,118.15,354.45
1099,8457,April,2025,1,61.2,61.2
1100,8594,April,2025,1,228.02,228.02
1101,25,April,2025,2,118.15,236.3
1101,44,April,2025,1,90.94,90.94
1101,8457,April,2025,2,61.2,122.4
1101,8974,April,2025,1,119,119
1101,8980,April,2025,1,93.5,93.5
1103,8457,April,2025,1,61.2,61.2
1105,3,April,2025,2,324.7,649.4
1105,8406,April,2025,1,92,92
1105,8413,April,2025,1,95.17,95.17
1105,8467,April,2025,1,333.2,333.2
1105,8485,April,2025,1,93.5,93.5
1105,8534,April,2025,1,102,102
1105,8664,April,2025,2,63.75,127.5
1105,8674,April,2025,1,85,85
1105,8974,April,2025,3,119,357
1108,8457,April,2025,1,61.2,61.2
1110,25,April,2025,45,118.15,5316.75
1110,8164,April,2025,12,119,1428
1110,8457,April,2025,15,61.2,918
1110,8485,April,2025,2,93.5,187
1110,8534,April,2025,10,102,1020
1110,8594,April,2025,8,228.02,1824.16
1110,8620,April,2025,8,144.5,1156
1110,8974,April,2025,6,119,714
1110,8986,April,2025,6,93.5,561
1110,9012,April,2025,2,465.38,930.76
1117,8457,April,2025,1,61.2,61.2
1117,8534,April,2025,1,102,102
1117,8603,April,2025,1,51.85,51.85
1117,8633,April,2025,1,79.81,79.81
1117,8664,April,2025,1,63.75,63.75
1119,8457,April,2025,2,61.2,122.4
1124,25,April,2025,1,118.15,118.15
1124,8457,April,2025,1,61.2,61.2
1125,25,April,2025,1,118.15,118.15
1125,8457,April,2025,1,61.2,61.2
1125,8974,April,2025,1,119,119
1125,8980,April,2025,1,93.5,93.5
1128,25,April,2025,2,118.15,236.3
1128,8164,April,2025,2,119,238
1128,8457,April,2025,2,61.2,122.4
1128,8485,April,2025,2,93.5,187
1128,8512,April,2025,1,104.55,104.55
1128,8534,April,2025,1,102,102
1128,8594,April,2025,1,228.02,228.02
1128,8674,April,2025,1,85,85
1128,8974,April,2025,1,119,119
1131,8164,April,2025,2,119,238
1131,8406,April,2025,1,92,92
1131,8457,April,2025,2,61.2,122.4
1131,8664,April,2025,1,63.75,63.75
1131,8974,April,2025,1,119,119
1133,8457,April,2025,2,61.2,122.4
1133,8594,April,2025,1,228.02,228.02
1138,25,April,2025,2,118.15,236.3
1138,8457,April,2025,1,61.2,61.2
1138,8664,April,2025,1,63.75,63.75
1140,25,April,2025,3,118.15,354.45
1140,8164,April,2025,2,119,238
1140,8664,April,2025,11,63.75,701.25
1145,8534,April,2025,1,102,102
1152,3,April,2025,1,324.7,324.7
1152,25,April,2025,2,118.15,236.3
1152,8457,April,2025,2,61.2,122.4
1152,8467,April,2025,1,333.2,333.2
1152,8534,April,2025,1,102,102
1152,8664,April,2025,1,63.75,63.75
1169,25,April,2025,1,118.15,118.15
1169,8457,April,2025,1,61.2,61.2
1169,8485,April,2025,1,93.5,93.5
1182,8974,April,2025,2,119,238
1190,25,April,2025,20,118.15,2363
1190,8164,April,2025,2,119,238
1190,8413,April,2025,2,95.17,190.34
1190,8457,April,2025,5,61.2,306
1190,8467,April,2025,8,333.2,2665.6
1190,8485,April,2025,15,93.5,1402.5
1190,8510,April,2025,1,599.15,599.15
1190,8512,April,2025,10,104.55,1045.5
1190,8603,April,2025,6,51.85,311.1
1190,8605,April,2025,5,74.35,371.75
1190,8664,April,2025,10,63.75,637.5
1190,9001,April,2025,2,55.25,110.5
1190,9012,April,2025,2,465.38,930.76
1191,3,April,2025,1,324.7,324.7
1191,23,April,2025,2,79.67,159.34
1191,8164,April,2025,4,119,476
1191,8406,April,2025,1,92,92
1191,8413,April,2025,2,95.17,190.34
1191,8457,April,2025,30,61.2,1836
1191,8467,April,2025,5,333.2,1666
1191,8485,April,2025,8,93.5,748
1191,8512,April,2025,5,104.55,522.75
1191,8534,April,2025,20,102,2040
1191,8594,April,2025,1,228.02,228.02
1191,8603,April,2025,9,51.85,466.65
1191,8605,April,2025,4,74.35,297.4
1191,8615,April,2025,1,49.73,49.73
1191,8620,April,2025,5,144.5,722.5
