customer_id,product_id,unit_return,product_rate,total_amount,date
8053,23,100,79.67,7967,17-04-2025,
8053,44,8,90.94,727.52,10-04-2025,
8053,8457,104,61.2,6364.8,10-04-2025,
8053,8474,10,125.65,1256.5,10-04-2025,
8053,8815,40,101.88,4075.2,17-04-2025,
8056,8527,6,29.75,178.5,17-04-2025,
8064,8603,1,51.85,51.85,10-04-2025,
8064,8714,9,61.2,550.8,10-04-2025,
8064,8974,6,119,714,10-04-2025,
8064,8980,15,93.5,1402.5,10-04-2025,
8064,8981,10,85,850,24-04-2025,
8064,9012,5,465.38,2326.9,24-04-2025,
8110,8981,1,85,85,24-04-2025,
8110,9066,2,290.03,580.06,24-04-2025,
8117,8868,20,374,7480,28-04-2025,
8150,8164,10,119,1190,10-04-2025,
19109,8457,10,61.2,612,16-04-2025,
19109,8594,5,228.02,1140.1,16-04-2025,
19143,25,5,118.15,590.75,10-04-2025,
19143,44,5,90.94,454.7,10-04-2025,
19143,8457,10,61.2,612,10-04-2025,
19143,8467,1,333.2,333.2,10-04-2025,
19143,8487,2,205.7,411.4,10-04-2025,
19143,8594,5,228.02,1140.1,10-04-2025,
19143,9001,5,55.25,276.25,10-04-2025,
19210,11,6,53.79,322.74,19-04-2025,
19210,33,2,96.78,193.56,19-04-2025,
19210,8680,2,60.775,121.55,19-04-2025,
19210,8811,1,52.07,52.07,19-04-2025,
19210,8869,5,56.1,280.5,19-04-2025,
19211,7,3,399.5,1198.5,19-04-2025,
19211,48,1,29.75,29.75,19-04-2025,
19211,8621,1,340,340,19-04-2025,
19211,8795,11,29.274,322.014,19-04-2025,
19295,25,4,118.15,472.6,12-04-2025,
19295,8164,1,119,119,12-04-2025,
19295,8974,3,119,357,12-04-2025,
19346,50,5,170,850,19-04-2025,
19347,8813,5,45.78,228.9,12-04-2025,
19367,23,3,79.67,239.01,28-04-2025,
19367,34,1,76.5,76.5,28-04-2025,
19367,8449,1,79.77,79.77,28-04-2025,
19389,8510,2,599.15,1198.3,30-04-2025,
19389,8602,2,362.34,724.68,30-04-2025,
19427,44,3,90.94,272.82,10-04-2025,
19427,50,2,170,340,10-04-2025,
19427,8485,3,93.5,280.5,10-04-2025,
19427,9065,3,99.45,298.35,10-04-2025,
19504,8815,10,101.88,1018.8,17-04-2025,
19513,8713,1,51,51,12-04-2025,
19527,22,12,97.75,1173,10-04-2025,
19527,8397,1,76.5,76.5,10-04-2025,
19527,8675,5,31.45,157.25,10-04-2025,
19527,8714,4,61.2,244.8,10-04-2025,
19527,8804,7,64,448,10-04-2025,
19527,8878,1,212.5,212.5,10-04-2025,
19527,8884,2,102,204,10-04-2025,
19527,8891,12,72.25,867,10-04-2025,
19528,3,2,324.7,649.4,17-04-2025,
19528,8620,5,144.5,722.5,17-04-2025,
19528,8891,2,72.25,144.5,17-04-2025,
19544,34,2,76.5,153,28-04-2025,
19544,8449,3,79.77,239.31,28-04-2025,
19544,8474,1,125.65,125.65,28-04-2025,
19544,8680,1,60.775,60.775,28-04-2025,
19578,9001,2,55.25,110.5,12-04-2025,
19589,23,1,79.67,79.67,12-04-2025,
19589,34,1,76.5,76.5,12-04-2025,
